      0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
      0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021     0.021
      0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042     0.042
      0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062     0.062
      0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083     0.083
      0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104     0.104
      0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125     0.125
      0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145     0.145
      0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166     0.166
      0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186     0.186
